TIPO DE BUSCA: JS, Quantidade de amostras analisadas:50

Quantidade de Elementos  ,  TEMPO(ns)  
                  20539,          879  
                  41078,         1172  
                  61617,         1425  
                  82156,         1715  
                 102695,         2419  
                 123234,         2298  
                 143773,         2521  
                 164312,         2724  
                 184851,         2913  
                 205390,         3170  
                 225929,         3392  
                 246468,         3640  
                 267007,         4370  
                 287546,         6458  
                 308085,         6603  
                 328624,        33978  
                 349163,         5812  
                 369702,         6334  
                 390241,         7377  
                 410780,         7241  
                 431319,        10852  
                 451858,         7482  
                 472397,        25426  
                 492936,         8455  
                 513475,         8130  
                 534014,       106748  
                 554553,         9025  
                 575092,         9887  
                 595631,        10593  
                 616170,        10414  
                 636709,        10679  
                 657248,        11428  
                 677787,        10583  
                 698326,        10953  
                 718865,        11003  
                 739404,        11178  
                 759943,        10803  
                 780482,        11039  
                 801021,        10715  
                 821560,         9966  
                 842099,        11009  
                 862638,        11837  
                 883177,        11372  
                 903716,        14111  
                 924255,        11083  
                 944794,        11617  
                 965333,        11282  
                 985872,        13030  
                1006411,        12115  
                1026950,        12481  
