TIPO DE BUSCA: BI, Quantidade de amostras analisadas:50

Quantidade de Elementos  ,  TEMPO(ns)  
                  20539,          196  
                  41078,          191  
                  61617,          199  
                  82156,          212  
                 102695,          204  
                 123234,          193  
                 143773,          203  
                 164312,          200  
                 184851,          204  
                 205390,          200  
                 225929,          199  
                 246468,          197  
                 267007,          204  
                 287546,          206  
                 308085,          203  
                 328624,          204  
                 349163,          228  
                 369702,          202  
                 390241,          200  
                 410780,          197  
                 431319,          218  
                 451858,          196  
                 472397,          194  
                 492936,          193  
                 513475,          199  
                 534014,          201  
                 554553,          199  
                 575092,          199  
                 595631,          196  
                 616170,          193  
                 636709,          195  
                 657248,          193  
                 677787,          187  
                 698326,          192  
                 718865,          191  
                 739404,          189  
                 759943,          188  
                 780482,          189  
                 801021,          184  
                 821560,          188  
                 842099,          258  
                 862638,          185  
                 883177,          180  
                 903716,          305  
                 924255,          177  
                 944794,          178  
                 965333,          178  
                 985872,          178  
                1006411,          176  
                1026950,          173  
