TIPO DE BUSCA: TR, Quantidade de amostras analisadas:50

Quantidade de Elementos  ,  TEMPO(ns)  
                  20539,          295  
                  41078,          312  
                  61617,          329  
                  82156,          312  
                 102695,          329  
                 123234,          348  
                 143773,          330  
                 164312,          358  
                 184851,          334  
                 205390,          351  
                 225929,          324  
                 246468,          351  
                 267007,          358  
                 287546,          340  
                 308085,          363  
                 328624,          357  
                 349163,          358  
                 369702,          338  
                 390241,          351  
                 410780,          334  
                 431319,          321  
                 451858,          289  
                 472397,          298  
                 492936,          305  
                 513475,          316  
                 534014,          259  
                 554553,          286  
                 575092,          261  
                 595631,          272  
                 616170,          255  
                 636709,          272  
                 657248,          645  
                 677787,          427  
                 698326,          686  
                 718865,          264  
                 739404,          291  
                 759943,          263  
                 780482,          247  
                 801021,          259  
                 821560,          272  
                 842099,          366  
                 862638,          348  
                 883177,          263  
                 903716,          288  
                 924255,          251  
                 944794,          266  
                 965333,          250  
                 985872,          844  
                1006411,          248  
                1026950,          354  
